new_figure,replaces_thesis,caption
T1_data_driven_floors,"Figs 36, 47a/b (threshold lines); Tables 8–11","Per-station detection (95th-percentile) and significance (99th-percentile) floors for the directional channel in both monitoring periods, derived from phase-randomised surrogates of each station's own noise. A matched-filter peak is counted as a detection only where it exceeds the station/template floor; the floors range ≈0.45–0.66."
T2_performance_by_template,Fig 44 + Table 9 (by template),"Floor-based detection counts per template (time window), aggregated over all stations and the complementary axis. Counts are tens–hundreds (above the data-driven floor), not the tens of thousands previously reported above the 0.2 threshold; they are per-window screening crossings and do not survive the synchrony/FAR significance tests."
T3_performance_by_configuration,Fig 41 + Table 8 (by configuration),"Floor-based detection counts per configuration, aggregated over all stations and the complementary axis. Counts are tens–hundreds (above the data-driven floor), not the tens of thousands previously reported above the 0.2 threshold; they are per-window screening crossings and do not survive the synchrony/FAR significance tests."
T4_correlations_below_floor,"Figs 42, 43, 45, 46 (peak-corr / SNR distributions)","Distribution of the best-matching-template correlation at each of the 288 strongest candidate events, on the two axes, the magnitude and the 2-component vector filter. Even the strongest candidates cluster below the per-station/template detection floor (grey band): the correlation population is consistent with noise, with no configuration- or template-diagnostic excess."
T5_injection_upper_limits,new (no thesis equivalent) — quantified upper limits,"End-to-end injection-recovery: probability of recovering a synthetic template injected into the real noise at a given SNR. The SNR90 (90% recovery) sets the upper limit — any genuine ULP tilt matching the templates must be below this amplitude, since none was detected."
T6_three_facet_null,new — multi-facet corroboration,"The search run independently on the two axes (X & Y), the magnitude, and the full 2-component vector matched filter. Cross-station synchrony is non-significant in every facet (left); the vector filter is the most sensitive (lowest SNR90, right) yet still detects nothing — the null is robust to representation."
T7_codetection_direction,new — strongest joint evidence,"Every detected candidate event (288) scored on all three facets and the tilt-vector direction match. Zero events clear the strict criterion — X, Y and magnitude all above their floors AND the observed tilt vector pointing the modelled way (Δazimuth ≤ 10–45°). The joint-and-directional test, the hardest to satisfy by chance, yields no co-detections."
T8_false_alarm_rate,new — time-slide significance,"False-alarm rate of the loudest real cross-station coincidence, measured against a time-slide background. A FAR of order 1/year is consistent with background noise — the coincidences are not significant."
T9_detections_by_component,Figs 41/44 + Tables 8/9/11 (per-component breakdown),"Floor-based detection counts by component (X, Y, magnitude, vector) for the by-template, by-configuration and by-station breakdowns; the vector channel has the most crossings because its floor is lowest, not because the matches are stronger."
P1_peaks_by_station_configuration,Fig 41,"Number of above-floor matched-filter detections per station, grouped by configuration (directional channel, summed over templates), for the eruptive and quiescent periods — the floor-based equivalent of the original Fig 41. Per-component totals are in Tables A–C."
P2_peaks_by_station_template,Fig 44,"Above-floor detections per station grouped by time-window template (directional channel, summed over configurations) — the floor-based equivalent of Fig 44."
P3_peakcorr_by_configuration,Fig 42,Distribution of above-floor matched-peak correlations by configuration and component (X/Y/magnitude/vector). The populations cluster just above the per-component floors (grey band) for every configuration — the floor-based equivalent of Fig 42.
P4_peakcorr_by_template,Fig 45,"Above-floor peak-correlation distribution by template and component; Template 4's distribution sits lowest, consistent with its lower floor — the floor-based equivalent of Fig 45."
P5_snr_by_configuration,Fig 43,"Distribution of the template SNR (linear) at above-floor peaks, by configuration and component — the equivalent of Fig 43; SNR is comparable across configurations."
P6_snr_by_template,Fig 46,"Template-SNR (linear) distribution at above-floor peaks, by template and component — the equivalent of Fig 46."
